PARAMETER VALUES
Reaction_norm_help?:	0
Reaction_norm_dispersal?:	0
Evolution_help_after_dispersal?:	1
Direct_brood_care_only?:	0
Low_survival_breeder?:	0
No_group_augmentation?:	0
No_effect_relatedness?:	1
Non-related_helpers_random_group?:	0
No_effect_age_inheritance?:	0
Initial_population:	20000
Number_of_colonies:	5000
Number_generations:	10000
Number_replicates:	10
Fixed_group_size:	1
Min_age_become_breeder:	1
Bias_float_breeder:	2
m(Overall_mortality):	0.2
n(Mortality_dispersal):	1
X0(intercept):	1.5
Xh(Cost_help_survival):	4
Xn(Benefit_group_size_survival):	1
K0(Base_fecundity):	1
K1(Benefit_help_fecundity):	1
initAlpha:	0
initAlphaAge:	0
initBeta:	0.7
initBetaAge:	0
mutAlpha:	0
mutAlphaAge:	0.05
mutBeta:	0
mutBetaAge:	0.05
mutDrift:	0.05
stepAlpha:	0.04
stepBeta:	0.04
stepDrift:	0.04

Replica	Generation	Population	Deaths	Floaters	Group_size	Age	Age_H	Age_F	Age_B	meanAlpha	meanAlphaAge	meanBeta	meanBetaAge	meanHelp	meanCumHelp	meanDispersal	meanSurvival	meanSurvival_H	meanSurvival_F	meanSurvival_B	Relatedness	SD_GroupSize	SD_Age	SD_Age_H	SD_Age_F	SD_Age_B	SD_Alpha	SD_AlphaAge	SD_Beta	SD_BetaAge	SD_Help	SD_CumHelp	SD_Dispersal	SD_Survival	SD_Survival_H	SD_Survival_F	SD_Survival_B	corr_Help_Disp	corr_Help_Group	newBreederFloater	newBreederHelper	inheritance
0	100	17497	5012	8807	1.7380	3.7030	2.4675	2.4171	6.8798	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7124	0.7855	0.6541	0.7613	0.0068	0.8668	3.3622	1.8573	1.8103	4.1362	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0607	0.0085	0.0000	0.0221	0.0000	0.0000	989	193	0
0	200	17437	5000	8666	1.7542	3.6757	2.3742	2.4244	6.8262	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7134	0.7855	0.6541	0.7618	-0.0126	0.8721	3.3831	1.7702	1.8228	4.2279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0608	0.0085	0.0000	0.0220	0.0000	0.0000	949	202	0
0	300	17400	4881	8740	1.7320	3.7485	2.4779	2.4225	6.9964	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7125	0.7851	0.6541	0.7614	-0.0178	0.8479	3.4731	1.8923	1.8006	4.3456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0605	0.0085	0.0000	0.0219	0.0000	0.0000	971	212	0
0	400	17598	5113	8833	1.7530	3.7624	2.4879	2.4621	7.0192	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7128	0.7852	0.6541	0.7619	0.0084	0.8639	3.4401	1.8522	1.8364	4.2772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0608	0.0086	0.0000	0.0219	0.0000	0.0000	983	194	0
0	500	17402	5051	8631	1.7542	3.7145	2.4832	2.4449	6.8348	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7135	0.7852	0.6541	0.7619	-0.0065	0.8668	3.3478	1.8627	1.8248	4.1207	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0608	0.0087	0.0000	0.0219	0.0000	0.0000	971	213	0
0	600	17463	5051	8742	1.7442	3.6510	2.4265	2.4216	6.7118	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7128	0.7852	0.6541	0.7617	-0.0010	0.8625	3.2777	1.8362	1.7606	4.0580	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0607	0.0086	0.0000	0.0218	0.0000	0.0000	1029	202	0
0	700	17606	5075	8914	1.7384	3.6920	2.4431	2.4781	6.7782	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7121	0.7852	0.6541	0.7615	0.0144	0.8527	3.2970	1.8432	1.8649	4.0329	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0606	0.0085	0.0000	0.0219	0.0000	0.0000	923	217	0
0	800	17532	4884	8733	1.7598	3.7019	2.4259	2.4809	6.8038	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7133	0.7854	0.6541	0.7620	0.0080	0.8760	3.2989	1.7969	1.8220	4.0554	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0609	0.0087	0.0000	0.0219	0.0000	0.0000	948	182	0
0	900	17761	5174	8934	1.7654	3.7060	2.4549	2.4528	6.9028	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7128	0.7853	0.6541	0.7622	0.0089	0.8711	3.3639	1.8342	1.8264	4.1756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0609	0.0086	0.0000	0.0219	0.0000	0.0000	1021	204	0
0	1000	17445	5047	8750	1.7390	3.7569	2.4982	2.4433	6.9858	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7126	0.7853	0.6541	0.7614	-0.0139	0.8614	3.4463	1.9465	1.8148	4.2730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0606	0.0086	0.0000	0.0219	0.0000	0.0000	1040	204	0
