PARAMETER VALUES
Reaction_norm_help?:	0
Reaction_norm_dispersal?:	0
Evolution_help_after_dispersal?:	1
Direct_brood_care_only?:	0
Low_survival_breeder?:	0
No_group_augmentation?:	0
No_effect_relatedness?:	1
Non-related_helpers_random_group?:	1
No_effect_age_inheritance?:	0
Initial_population:	20000
Number_of_colonies:	5000
Number_generations:	10000
Number_replicates:	10
Fixed_group_size:	1
Min_age_become_breeder:	1
Bias_float_breeder:	2
m(Overall_mortality):	0.2
n(Mortality_dispersal):	1
X0(intercept):	1.5
Xh(Cost_help_survival):	4
Xn(Benefit_group_size_survival):	3
K0(Base_fecundity):	1
K1(Benefit_help_fecundity):	1
initAlpha:	0
initAlphaAge:	0
initBeta:	0.7
initBetaAge:	0
mutAlpha:	0
mutAlphaAge:	0.05
mutBeta:	0
mutBetaAge:	0.05
mutDrift:	0.05
stepAlpha:	0.04
stepBeta:	0.04
stepDrift:	0.04

Replica	Generation	Population	Deaths	Floaters	Group_size	Age	Age_H	Age_F	Age_B	meanAlpha	meanAlphaAge	meanBeta	meanBetaAge	meanHelp	meanCumHelp	meanDispersal	meanSurvival	meanSurvival_H	meanSurvival_F	meanSurvival_B	Relatedness	SD_GroupSize	SD_Age	SD_Age_H	SD_Age_F	SD_Age_B	SD_Alpha	SD_AlphaAge	SD_Beta	SD_BetaAge	SD_Help	SD_CumHelp	SD_Dispersal	SD_Survival	SD_Survival_H	SD_Survival_F	SD_Survival_B	corr_Help_Disp	corr_Help_Group	newBreederFloater	newBreederHelper	inheritance
0	100	18225	4960	9235	1.7980	4.0174	2.5627	2.6009	7.7948	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7249	0.7998	0.6541	0.7959	-0.0262	0.8920	3.9192	1.9410	1.9998	5.0923	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	788	205	0
0	200	18238	5044	9222	1.8032	4.0120	2.5879	2.5747	7.8068	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7250	0.7998	0.6541	0.7959	0.0136	0.8971	3.8319	1.9692	1.9840	4.8318	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	816	195	0
0	300	18295	5026	9218	1.8154	3.9996	2.6475	2.5881	7.7042	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7253	0.7998	0.6541	0.7959	-0.0254	0.9010	3.7795	2.0360	2.0136	4.7460	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0719	0.0002	0.0000	0.0042	0.0000	0.0000	861	202	0
0	400	18257	5082	9201	1.8112	3.9980	2.5996	2.5938	7.7164	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7253	0.7998	0.6541	0.7959	-0.0301	0.9044	3.7694	2.0707	1.9578	4.7231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	797	187	0
0	500	18196	5051	9292	1.7808	3.9982	2.5804	2.5861	7.7294	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7243	0.7998	0.6541	0.7958	-0.0140	0.8915	3.8270	2.0141	1.9894	4.8559	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	831	195	0
0	600	18056	4996	9199	1.7714	3.9823	2.5722	2.5484	7.7080	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7244	0.7998	0.6541	0.7957	-0.0309	0.8793	3.7934	1.9743	1.9226	4.7918	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	849	171	0
0	700	18404	5062	9339	1.8130	3.9636	2.5852	2.5822	7.6646	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7248	0.7998	0.6541	0.7959	-0.0019	0.9084	3.7613	1.9722	1.9556	4.7919	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	848	187	0
0	800	18156	5000	9263	1.7786	3.9725	2.5798	2.5147	7.7574	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7243	0.7998	0.6541	0.7958	-0.0041	0.8825	3.8215	1.9962	1.9094	4.8373	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	826	180	0
0	900	18006	4886	9020	1.7972	3.9830	2.5768	2.5459	7.6964	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7257	0.7998	0.6541	0.7959	0.0082	0.8954	3.7849	1.9999	1.9309	4.7520	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	814	183	0
0	1000	18133	4897	9203	1.7860	3.9907	2.5611	2.5823	7.7068	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7248	0.7998	0.6541	0.7959	0.0117	0.8740	3.8115	1.9700	1.9979	4.8188	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	768	170	0
0	1100	18015	4986	9066	1.7898	3.9544	2.6019	2.5774	7.5192	0.0000	0.0000	0.7000	0.0000	0.0000	0.0000	0.7000	0.7254	0.7998	0.6541	0.7959	-0.0109	0.8879	3.7290	2.0601	1.9834	4.6933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0718	0.0002	0.0000	0.0042	0.0000	0.0000	857	182	0
